ts,device_id,code,value
2026-08-09T00:00:00Z,zewnatrz,va_humidity,64
2026-08-09T00:00:00Z,zewnatrz,va_temperature,17.4
2026-08-09T01:00:00Z,zewnatrz,va_humidity,63
2026-08-09T01:00:00Z,zewnatrz,va_temperature,17
2026-08-09T02:00:00Z,zewnatrz,va_humidity,63
2026-08-09T02:00:00Z,zewnatrz,va_temperature,16.6
2026-08-09T03:00:00Z,zewnatrz,va_humidity,63
2026-08-09T03:00:00Z,zewnatrz,va_temperature,15.9
2026-08-09T04:00:00Z,zewnatrz,va_humidity,63
2026-08-09T04:00:00Z,zewnatrz,va_temperature,15.6
2026-08-09T05:00:00Z,zewnatrz,va_humidity,61
2026-08-09T05:00:00Z,zewnatrz,va_temperature,16.5
2026-08-09T06:00:00Z,zewnatrz,va_humidity,59
2026-08-09T06:00:00Z,zewnatrz,va_temperature,17.6
2026-08-09T07:00:00Z,zewnatrz,va_humidity,53
2026-08-09T07:00:00Z,zewnatrz,va_temperature,19.5
2026-08-09T08:00:00Z,zewnatrz,va_humidity,51
2026-08-09T08:00:00Z,zewnatrz,va_temperature,21
2026-08-09T09:00:00Z,zewnatrz,va_humidity,47
2026-08-09T09:00:00Z,zewnatrz,va_temperature,22.5
2026-08-09T10:00:00Z,zewnatrz,va_humidity,44
2026-08-09T10:00:00Z,zewnatrz,va_temperature,23.9
2026-08-09T11:00:00Z,zewnatrz,va_humidity,41
2026-08-09T11:00:00Z,zewnatrz,va_temperature,25.1
2026-08-09T12:00:00Z,zewnatrz,va_humidity,38
2026-08-09T12:00:00Z,zewnatrz,va_temperature,26
2026-08-09T13:00:00Z,zewnatrz,va_humidity,36
2026-08-09T13:00:00Z,zewnatrz,va_temperature,26.9
2026-08-09T14:00:00Z,zewnatrz,va_humidity,36
2026-08-09T14:00:00Z,zewnatrz,va_temperature,27.2
2026-08-09T15:00:00Z,zewnatrz,va_humidity,37
2026-08-09T15:00:00Z,zewnatrz,va_temperature,27.3
2026-08-09T16:00:00Z,zewnatrz,va_humidity,38
2026-08-09T16:00:00Z,zewnatrz,va_temperature,27.2
